name,variant,phase,dtype,tile,unroll,cores,reuse,static,vf,elements,completed,compiled,numerical,ub_bytes,median_ticks,failed_segments,evidence
matrix-r2-sdefault-vf0,corrected,compile,float32,15872,2,72,2,default,0,150994944,True,True,,253952,,[],evidence/matrix-r2-sdefault-vf0/result.json
matrix-r2-sdefault-vf1,corrected,compile,float32,15872,2,72,2,default,1,150994944,True,True,,253952,,[],evidence/matrix-r2-sdefault-vf1/result.json
matrix-r2-sfalse-vf0,corrected,compile,float32,15872,2,72,2,false,0,150994944,True,True,,,,[],evidence/matrix-r2-sfalse-vf0/result.json
matrix-r2-sfalse-vf1,corrected,compile,float32,15872,2,72,2,false,1,150994944,True,True,,,,[],evidence/matrix-r2-sfalse-vf1/result.json
matrix-r2-strue-vf0,corrected,compile,float32,15872,2,72,2,true,0,150994944,True,True,,253952,,[],evidence/matrix-r2-strue-vf0/result.json
matrix-r2-strue-vf1,corrected,compile,float32,15872,2,72,2,true,1,150994944,True,True,,253952,,[],evidence/matrix-r2-strue-vf1/result.json
original-f32,original,numerical,float32,15872,2,1,1,default,0,15872,True,True,False,253952,,"['normal_seed_20260907', 'dense_negative_tails', 'official_range_5', 'official_range_8', 'finite_limits']",evidence/original-f32/result.json
perf-corrected-1024,corrected,perf,float32,1024,2,1,1,default,0,31744,True,True,True,16384,13555,[],evidence/perf-corrected-1024/result.json
perf-corrected-15872,corrected,perf,float32,15872,2,1,1,default,0,31744,True,True,True,253952,9384,[],evidence/perf-corrected-15872/result.json
perf-corrected-15872-vf1,corrected,perf,float32,15872,2,1,1,default,1,31744,True,True,True,253952,9438,[],evidence/perf-corrected-15872-vf1/result.json
perf-exact-remedy-exact,exact,perf,float32,1024,1,1,1,default,1,2048,True,True,False,12288,3521,['finite_perf_input'],evidence/perf-exact-remedy-exact/result.json
perf-exact-remedy-exact_fast,exact_fast,perf,float32,1024,1,1,1,default,1,2048,True,True,True,49152,4966,[],evidence/perf-exact-remedy-exact_fast/result.json
perf-exact-remedy-exact_stable,exact_stable,perf,float32,1024,1,1,1,default,1,2048,True,True,True,73728,6917,[],evidence/perf-exact-remedy-exact_stable/result.json
perf-original-15872,original,perf,float32,15872,2,1,1,default,0,31744,True,True,False,253952,9384,['finite_perf_input'],evidence/perf-original-15872/result.json
perf-stable-1024,stable,perf,float32,1024,1,1,1,default,0,31744,True,True,True,20480,31341,[],evidence/perf-stable-1024/result.json
perf-stable-15872,stable,perf,float32,15872,2,1,1,default,0,31744,False,True,,317440,,[],evidence/perf-stable-15872/result.json
promoted-bf16,promoted,numerical,bfloat16,8192,2,1,1,default,0,16384,True,True,True,131072,,[],evidence/promoted-bf16/result.json
promoted-f16,promoted,numerical,float16,8192,2,1,1,default,0,16384,True,True,True,131072,,[],evidence/promoted-f16/result.json
selected-exact-compile-case-1,exact,compile,float16,8192,2,72,1,default,0,1048576,True,True,,98304,,[],evidence/selected-exact-compile-case-1/result.json
selected-exact-compile-case-11,exact_fast,compile,float32,1024,1,72,1,default,1,1092273,True,True,,49152,,[],evidence/selected-exact-compile-case-11/result.json
selected-exact-compile-case-13,exact_fast,compile,float32,1024,1,72,1,default,1,10912759,True,True,,49152,,[],evidence/selected-exact-compile-case-13/result.json
selected-exact-compile-case-15,exact_fast,compile,float32,1024,1,72,1,default,1,1049088,True,True,,49152,,[],evidence/selected-exact-compile-case-15/result.json
selected-exact-compile-case-16,exact,compile,bfloat16,8192,2,72,1,default,0,2089215,True,True,,98304,,[],evidence/selected-exact-compile-case-16/result.json
selected-exact-compile-case-18,exact_fast,compile,float32,1024,1,72,1,default,1,2094078,True,True,,49152,,[],evidence/selected-exact-compile-case-18/result.json
selected-exact-compile-case-2,exact_fast,compile,float32,1024,1,72,1,default,1,4194304,True,True,,49152,,[],evidence/selected-exact-compile-case-2/result.json
selected-exact-compile-case-20,exact_fast,compile,float32,1024,1,72,1,default,1,10549248,True,True,,49152,,[],evidence/selected-exact-compile-case-20/result.json
selected-exact-compile-case-3,exact,compile,bfloat16,8192,2,72,1,default,0,16777216,True,True,,98304,,[],evidence/selected-exact-compile-case-3/result.json
selected-exact-compile-case-7,exact,compile,float16,8192,2,72,1,default,0,1030189,True,True,,98304,,[],evidence/selected-exact-compile-case-7/result.json
selected-exact-compile-case-9,exact,compile,bfloat16,8192,2,72,1,default,0,49691433,True,True,,98304,,[],evidence/selected-exact-compile-case-9/result.json
tail-cores8,corrected,tail,float32,1024,1,8,1,default,0,2049,True,True,True,8192,,[],evidence/tail-cores8/result.json
